country,sex,age,lx,ex
ARE,female,65-69,96120.739,20.8929
ARE,female,70-74,92666.355,16.5685
ARE,female,75-79,86707.765,12.5211
ARE,female,80-84,75951.473,8.9036
ARE,female,85-89,55928.783,6.119
ARE,female,90-94,29776.706,4.3106
ARE,female,95+,10575.3,3.0079
ARE,male,<1,100000.0,82.1677
ARE,male,1-4,99440.618,81.6292
ARE,male,5-9,99323.279,77.7239
ARE,male,10-14,99262.059,72.7706
ARE,male,15-19,99209.493,67.8076
ARE,male,20-24,99041.213,62.9179
ARE,male,25-29,98812.565,58.0579
ARE,male,30-34,98628.739,53.1615
ARE,male,35-39,98432.806,48.2622
ARE,male,40-44,98178.674,43.3804
ARE,male,45-49,97828.571,38.5261
ARE,male,50-54,97311.03,33.7169
ARE,male,55-59,96558.101,28.9592
ARE,male,60-64,95466.657,24.2598
ARE,male,65-69,93519.429,19.707
ARE,male,70-74,89906.671,15.3906
ARE,male,75-79,83754.492,11.3189
ARE,male,80-84,71540.276,7.7782
ARE,male,85-89,48994.982,5.1125
ARE,male,90-94,21510.355,3.5397
ARE,male,95+,5628.257,2.514
ARG,female,<1,100000.0,80.0198
ARG,female,1-4,99137.586,79.7148
ARG,female,5-9,98997.328,75.8253
ARG,female,10-14,98920.924,70.8821
ARG,female,15-19,98824.512,65.9485
ARG,female,20-24,98622.3,61.0782
ARG,female,25-29,98375.95,56.2248
ARG,female,30-34,98091.224,51.3805
ARG,female,35-39,97721.292,46.5651
ARG,female,40-44,97188.992,41.8056
ARG,female,45-49,96428.58,37.1144
ARG,female,50-54,95275.409,32.5313
ARG,female,55-59,93547.175,28.0831
ARG,female,60-64,90887.646,23.8266
ARG,female,65-69,86869.543,19.8061
ARG,female,70-74,81161.354,16.0137
ARG,female,75-79,73118.347,12.4851
ARG,female,80-84,61563.147,9.33
ARG,female,85-89,45127.69,6.7782
ARG,female,90-94,26311.306,4.8348
ARG,female,95+,10729.77,3.4788
ARG,male,<1,100000.0,74.9763
ARG,male,1-4,99085.894,74.6668
ARG,male,5-9,98961.63,70.7583
ARG,male,10-14,98878.705,65.8157
ARG,male,15-19,98769.349,60.8853
ARG,male,20-24,98342.115,56.137
ARG,male,25-29,97713.562,51.4822
ARG,male,30-34,97109.158,46.7871
ARG,male,35-39,96462.643,42.0835
ARG,male,40-44,95673.433,37.4093
ARG,male,45-49,94625.062,32.7944
ARG,male,50-54,92996.836,28.3215
ARG,male,55-59,90423.966,24.0511
ARG,male,60-64,86334.127,20.0634
ARG,male,65-69,80083.147,16.4219
ARG,male,70-74,71116.706,13.1615
ARG,male,75-79,59509.632,10.2234
ARG,male,80-84,44923.881,7.7011
ARG,male,85-89,28197.788,5.7866
ARG,male,90-94,13937.075,4.2709
ARG,male,95+,4791.17,3.1412
ARM,female,<1,100000.0,79.5948
ARM,female,1-4,99248.681,79.1963
ARM,female,5-9,99132.823,75.2872
ARM,female,10-14,99057.244,70.343
ARM,female,15-19,99009.197,65.3758
ARM,female,20-24,98930.193,60.4259
ARM,female,25-29,98822.783,55.4887
ARM,female,30-34,98690.611,50.5596
ARM,female,35-39,98500.669,45.6519
ARM,female,40-44,98173.499,40.795
ARM,female,45-49,97643.786,36.0017
ARM,female,50-54,96800.515,31.292
ARM,female,55-59,95468.342,26.6912
ARM,female,60-64,93318.856,22.2439
ARM,female,65-69,89719.2,18.0275
ARM,female,70-74,83701.06,14.1299
ARM,female,75-79,73889.577,10.6482
ARM,female,80-84,58566.563,7.7398
ARM,female,85-89,38258.212,5.4853
ARM,female,90-94,18203.7,3.8701
ARM,female,95+,5444.692,2.7559
ARM,male,<1,100000.0,71.5753
ARM,male,1-4,98945.04,71.3371
ARM,male,5-9,98808.804,67.4334
ARM,male,10-14,98715.197,62.4953
ARM,male,15-19,98615.92,57.5552
ARM,male,20-24,98300.27,52.731
ARM,male,25-29,97917.996,47.9274
ARM,male,30-34,97512.335,43.1157
ARM,male,35-39,96904.681,38.3695
ARM,male,40-44,95933.069,33.7304
ARM,male,45-49,94237.728,29.2887
ARM,male,50-54,91439.064,25.1024
ARM,male,55-59,87104.884,21.2202
ARM,male,60-64,81321.013,17.5442
ARM,male,65-69,73499.506,14.1306
ARM,male,70-74,62742.101,11.1057
ARM,male,75-79,49071.287,8.4799
ARM,male,80-84,33262.294,6.3087
ARM,male,85-89,17999.779,4.5902
ARM,male,90-94,6864.764,3.3105
ARM,male,95+,1570.097,2.4271
ASM,female,<1,100000.0,75.9937
ASM,female,1-4,99270.278,75.5513
ASM,female,5-9,99063.045,71.7061
ASM,female,10-14,99005.396,66.7467
ASM,female,15-19,98950.27,61.7822
ASM,female,20-24,98704.612,56.9291
ASM,female,25-29,98499.991,52.0421
ASM,female,30-34,98026.3,47.2803
ASM,female,35-39,97616.278,42.4684
ASM,female,40-44,96658.689,37.8602
ASM,female,45-49,95243.124,33.3857
ASM,female,50-54,93449.464,28.9748
ASM,female,55-59,90679.287,24.7807
ASM,female,60-64,87464.97,20.5956
ASM,female,65-69,82619.09,16.6465
ASM,female,70-74,75163.533,13.0334
ASM,female,75-79,64152.171,9.8157
ASM,female,80-84,48746.832,7.0913
ASM,female,85-89,29965.705,4.946
ASM,female,90-94,12798.458,3.3902
ASM,female,95+,3091.226,2.3015
ASM,male,<1,100000.0,70.3233
ASM,male,1-4,99080.834,69.9745
ASM,male,5-9,98862.703,66.1246
ASM,male,10-14,98714.204,61.221
ASM,male,15-19,98623.074,56.2749
ASM,male,20-24,98053.43,51.5839
ASM,male,25-29,97420.822,46.9048
ASM,male,30-34,96929.393,42.1288
ASM,male,35-39,95839.792,37.5764
ASM,male,40-44,94476.381,33.082
ASM,male,45-49,92414.008,28.7589
ASM,male,50-54,89236.787,24.6909
ASM,male,55-59,85297.358,20.7092
ASM,male,60-64,78911.379,17.1683
ASM,male,65-69,70157.365,13.9858
ASM,male,70-74,59144.629,11.1094
ASM,male,75-79,45997.412,8.5513
ASM,male,80-84,31216.278,6.4057
ASM,male,85-89,17054.672,4.7028
ASM,male,90-94,6718.614,3.3929
ASM,male,95+,1620.475,2.43
ATG,female,<1,100000.0,80.4462
ATG,female,1-4,99323.712,79.9931
ATG,female,5-9,99140.184,76.1382
ATG,female,10-14,99061.884,71.1966
ATG,female,15-19,98945.911,66.2767
ATG,female,20-24,98733.709,61.4137
ATG,female,25-29,98531.297,56.5344
ATG,female,30-34,98149.699,51.7438
ATG,female,35-39,97710.862,46.9647
ATG,female,40-44,97052.735,42.265
ATG,female,45-49,96266.918,37.5894
ATG,female,50-54,95206.183,32.9782
ATG,female,55-59,93374.436,28.5717
ATG,female,60-64,90588.634,24.3703
ATG,female,65-69,87224.436,20.2106
ATG,female,70-74,82207.729,16.2775
ATG,female,75-79,73767.738,12.8366
ATG,female,80-84,62474.614,9.6819
ATG,female,85-89,46205.858,7.1682
ATG,female,90-94,28052.811,5.1981
ATG,female,95+,12462.694,3.7314
ATG,male,<1,100000.0,74.7416
ATG,male,1-4,99200.771,74.3427
ATG,male,5-9,99016.029,70.4787
ATG,male,10-14,98956.676,65.5195
ATG,male,15-19,98809.373,60.6129
ATG,male,20-24,98556.887,55.7613
ATG,male,25-29,98011.078,51.0557
ATG,male,30-34,97113.565,46.505
ATG,male,35-39,96487.51,41.791
ATG,male,40-44,95623.338,37.1441
ATG,male,45-49,94391.626,32.5951
ATG,male,50-54,92852.537,28.0916
ATG,male,55-59,90416.883,23.7763
ATG,male,60-64,86713.694,19.6762
ATG,male,65-69,80234.543,16.0485
