risk_factor,cause,age,exposure_g_per_day,rr_mean,rr_low,rr_high
red_meat,CHD,35-39,214.5,1.3495745118909017,1.1794891644213408,1.5590012522730836
red_meat,CHD,35-39,286.0,1.4914057852493527,1.2462120340150005,1.807709409899285
red_meat,CHD,40-44,0.0,1.0,1.0,1.0
red_meat,CHD,40-44,71.5,1.0853608783119322,1.0461385356554225,1.1289953168368576
red_meat,CHD,40-44,143.0,1.178008236170049,1.0944058357832716,1.2746304254395566
red_meat,CHD,40-44,214.5,1.2785640538682146,1.1449001184590604,1.4390517810190309
red_meat,CHD,40-44,286.0,1.3877034044844698,1.1977241333964812,1.624682721456225
red_meat,CHD,45-49,0.0,1.0,1.0,1.0
red_meat,CHD,45-49,71.5,1.0822042783427077,1.0444620467864856,1.124135224512366
red_meat,CHD,45-49,143.0,1.1711661000632607,1.0909009671774146,1.2636800029894673
red_meat,CHD,45-49,214.5,1.2674409641384043,1.1394046570194791,1.420547203872352
red_meat,CHD,45-49,286.0,1.3716300339373875,1.1900649201886186,1.5968871499554598
red_meat,CHD,50-54,0.0,1.0,1.0,1.0
red_meat,CHD,50-54,71.5,1.0741600647733427,1.040179754538203,1.1117807106505264
red_meat,CHD,50-54,143.0,1.153819844753872,1.0819739217511561,1.2360563485745892
red_meat,CHD,50-54,214.5,1.2393871991775873,1.1254473683438544,1.3742236056223516
red_meat,CHD,50-54,286.0,1.331300234147849,1.1706675673495768,1.5278352968515467
red_meat,CHD,55-59,0.0,1.0,1.0,1.0
red_meat,CHD,55-59,71.5,1.0642027523940938,1.034859025422121,1.0965495792721904
red_meat,CHD,55-59,143.0,1.132527498203165,1.0709332024976224,1.2024209798020178
red_meat,CHD,55-59,214.5,1.2052388807498053,1.1082648902288805,1.3185142195099575
red_meat,CHD,55-59,286.0,1.2826185341863199,1.1468979242118134,1.4458162126680445
red_meat,CHD,60-64,0.0,1.0,1.0,1.0
red_meat,CHD,60-64,71.5,1.0556331588416652,1.030261891880073,1.0834959324149513
red_meat,CHD,60-64,143.0,1.1143613660460325,1.061439565860307,1.1739634355597446
red_meat,CHD,60-64,214.5,1.1763568089302865,1.0935607352396033,1.271984607232865
red_meat,CHD,60-64,286.0,1.2418012541359795,1.126653951973717,1.3781901480312386
red_meat,CHD,65-69,0.0,1.0,1.0,1.0
red_meat,CHD,65-69,71.5,1.0503650836047689,1.0274275226445773,1.075496573880829
red_meat,CHD,65-69,143.0,1.1032668088560533,1.0556073142875735,1.1566928804294019
red_meat,CHD,65-69,214.5,1.1588329339224552,1.0845600078039774,1.2440192299341692
red_meat,CHD,65-69,286.0,1.2171976515234193,1.114306801977424,1.3379384196360664
red_meat,CHD,70-74,0.0,1.0,1.0,1.0
red_meat,CHD,70-74,71.5,1.0449973015471479,1.0245329304555002,1.0673656482325373
red_meat,CHD,70-74,143.0,1.0920193602408208,1.049667725587735,1.1392694270268644
red_meat,CHD,70-74,214.5,1.1411572846889007,1.075419150900962,1.2160170504900405
red_meat,CHD,70-74,286.0,1.1925062831407716,1.1018023341405285,1.29793482735812
red_meat,CHD,75-79,0.0,1.0,1.0,1.0
red_meat,CHD,75-79,71.5,1.0413612322062298,1.0225683724252772,1.0618692598681225
red_meat,CHD,75-79,143.0,1.0844332159420773,1.0456460762844804,1.1275663250528745
red_meat,CHD,75-79,214.5,1.1292867099988062,1.0692446063590983,1.1973280190361149
red_meat,CHD,75-79,286.0,1.175995399838476,1.0933757168491294,1.2714058173932445
red_meat,CHD,80-84,0.0,1.0,1.0,1.0
red_meat,CHD,80-84,71.5,1.0413612322062298,1.0225683724252772,1.0618692598681225
red_meat,CHD,80-84,143.0,1.0844332159420773,1.0456460762844804,1.1275663250528745
red_meat,CHD,80-84,214.5,1.1292867099988062,1.0692446063590983,1.1973280190361149
red_meat,CHD,80-84,286.0,1.175995399838476,1.0933757168491294,1.2714058173932445
red_meat,CHD,85-89,0.0,1.0,1.0,1.0
red_meat,CHD,85-89,71.5,1.0413612322062298,1.0225683724252772,1.0618692598681225
red_meat,CHD,85-89,143.0,1.0844332159420773,1.0456460762844804,1.1275663250528745
red_meat,CHD,85-89,214.5,1.1292867099988062,1.0692446063590983,1.1973280190361149
red_meat,CHD,85-89,286.0,1.175995399838476,1.0933757168491294,1.2714058173932445
red_meat,CHD,90-94,0.0,1.0,1.0,1.0
red_meat,CHD,90-94,71.5,1.0413612322062298,1.0225683724252772,1.0618692598681225
red_meat,CHD,90-94,143.0,1.0844332159420773,1.0456460762844804,1.1275663250528745
red_meat,CHD,90-94,214.5,1.1292867099988062,1.0692446063590983,1.1973280190361149
red_meat,CHD,90-94,286.0,1.175995399838476,1.0933757168491294,1.2714058173932445
red_meat,CHD,95+,0.0,1.0,1.0,1.0
red_meat,CHD,95+,71.5,1.0413612322062298,1.0225683724252772,1.0618692598681225
red_meat,CHD,95+,143.0,1.0844332159420773,1.0456460762844804,1.1275663250528745
red_meat,CHD,95+,214.5,1.1292867099988062,1.0692446063590983,1.1973280190361149
red_meat,CHD,95+,286.0,1.175995399838476,1.0933757168491294,1.2714058173932445
red_meat,CRC,25-29,0.0,1.0,1.0,1.0
red_meat,CRC,25-29,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,25-29,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,25-29,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,25-29,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,30-34,0.0,1.0,1.0,1.0
red_meat,CRC,30-34,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,30-34,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,30-34,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,30-34,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,35-39,0.0,1.0,1.0,1.0
red_meat,CRC,35-39,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,35-39,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,35-39,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,35-39,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,40-44,0.0,1.0,1.0,1.0
red_meat,CRC,40-44,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,40-44,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,40-44,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,40-44,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,45-49,0.0,1.0,1.0,1.0
red_meat,CRC,45-49,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,45-49,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,45-49,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,45-49,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,50-54,0.0,1.0,1.0,1.0
red_meat,CRC,50-54,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,50-54,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,50-54,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,50-54,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,55-59,0.0,1.0,1.0,1.0
red_meat,CRC,55-59,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,55-59,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,55-59,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,55-59,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,60-64,0.0,1.0,1.0,1.0
red_meat,CRC,60-64,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,60-64,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,60-64,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,60-64,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,65-69,0.0,1.0,1.0,1.0
red_meat,CRC,65-69,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,65-69,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,65-69,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,65-69,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,70-74,0.0,1.0,1.0,1.0
red_meat,CRC,70-74,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,70-74,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,70-74,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,70-74,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,75-79,0.0,1.0,1.0,1.0
red_meat,CRC,75-79,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,75-79,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,75-79,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,75-79,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,80-84,0.0,1.0,1.0,1.0
red_meat,CRC,80-84,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,80-84,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,80-84,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,80-84,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,85-89,0.0,1.0,1.0,1.0
red_meat,CRC,85-89,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,85-89,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,85-89,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,85-89,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,90-94,0.0,1.0,1.0,1.0
red_meat,CRC,90-94,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,90-94,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,90-94,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,90-94,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,CRC,95+,0.0,1.0,1.0,1.0
red_meat,CRC,95+,71.5,1.1188011166225251,1.035500585604039,1.2129669742749958
red_meat,CRC,95+,143.0,1.251715938555809,1.0722614627863076,1.4712888806818383
red_meat,CRC,95+,214.5,1.4004211897504513,1.1103273726358651,1.7846248218850949
red_meat,CRC,95+,286.0,1.5667927908346497,1.1497446445766324,2.164690970418017
red_meat,Stroke,25-29,0.0,1.0,1.0,1.0
red_meat,Stroke,25-29,71.5,1.0844034390197073,1.0425423207480722,1.1188011166225251
red_meat,Stroke,25-29,143.0,1.175930818557768,1.0868944905507762,1.251715938555809
red_meat,Stroke,25-29,214.5,1.2751834236933028,1.1331335045871,1.4004211897504513
red_meat,Stroke,25-29,286.0,1.3828132900339418,1.1813396335896316,1.5667927908346497
red_meat,Stroke,30-34,0.0,1.0,1.0,1.0
red_meat,Stroke,30-34,71.5,1.0844034390197073,1.0425423207480722,1.1188011166225251
red_meat,Stroke,30-34,143.0,1.175930818557768,1.0868944905507762,1.251715938555809
red_meat,Stroke,30-34,214.5,1.2751834236933028,1.1331335045871,1.4004211897504513
red_meat,Stroke,30-34,286.0,1.3828132900339418,1.1813396335896316,1.5667927908346497
red_meat,Stroke,35-39,0.0,1.0,1.0,1.0
red_meat,Stroke,35-39,71.5,1.0844034390197073,1.0425423207480722,1.1188011166225251
red_meat,Stroke,35-39,143.0,1.175930818557768,1.0868944905507762,1.251715938555809
red_meat,Stroke,35-39,214.5,1.2751834236933028,1.1331335045871,1.4004211897504513
red_meat,Stroke,35-39,286.0,1.3828132900339418,1.1813396335896316,1.5667927908346497
red_meat,Stroke,40-44,0.0,1.0,1.0,1.0
red_meat,Stroke,40-44,71.5,1.0661396520167072,1.0334770912087727,1.0927811724092993
red_meat,Stroke,40-44,143.0,1.1366537576023057,1.068074898053346,1.194170690772243
red_meat,Stroke,40-44,214.5,1.2118316415936048,1.1038309388332785,1.3049672475189145
red_meat,Stroke,40-44,286.0,1.2919817646714409,1.1407839878516655,1.4260436386994557
red_meat,Stroke,45-49,0.0,1.0,1.0,1.0
red_meat,Stroke,45-49,71.5,1.0560144295854426,1.028418915975676,1.0784296886361855
red_meat,Stroke,45-49,143.0,1.1151664754926678,1.0576454667365847,1.16301059333194
red_meat,Stroke,45-49,214.5,1.177631889510198,1.0877026043878264,1.2542251520475491
red_meat,Stroke,45-49,286.0,1.2435962680627386,1.1186139333084482,1.3525936402023107
red_meat,Stroke,50-54,0.0,1.0,1.0,1.0
red_meat,Stroke,50-54,71.5,1.0466946927561682,1.023742264134075,1.0652666765851964
red_meat,Stroke,50-54,143.0,1.0955697798439294,1.048048223374362,1.1347930922428693
red_meat,Stroke,50-54,214.5,1.1467270741066846,1.072931261118964,1.2088572659853996
red_meat,Stroke,50-54,286.0,1.2002731425072761,1.0984050785181567,1.2877553622021332
red_meat,Stroke,55-59,0.0,1.0,1.0,1.0
red_meat,Stroke,55-59,71.5,1.038405781013804,1.0195658543797665,1.053597459822053
red_meat,Stroke,55-59,143.0,1.0782865660428886,1.0395145314171435,1.1100676073434828
red_meat,Stroke,55-59,214.5,1.1196990037684589,1.0598535213645026,1.1695644113278376
red_meat,Stroke,55-59,286.0,1.162701918508565,1.0805904610274035,1.2322500928732845
red_meat,Stroke,60-64,0.0,1.0,1.0,1.0
red_meat,Stroke,60-64,71.5,1.0313852674820574,1.0160158477068355,1.043741935559991
red_meat,Stroke,60-64,143.0,1.063755569979035,1.0322882027914397,1.0893972280465165
red_meat,Stroke,60-64,214.5,1.0971418230783554,1.0488211734369104,1.13704957139496
red_meat,Stroke,60-64,286.0,1.1315759126614218,1.0656189336223805,1.1867863204754336
red_meat,Stroke,65-69,0.0,1.0,1.0,1.0
red_meat,Stroke,65-69,71.5,1.0258661728791563,1.0132168012902971,1.036012252540551
red_meat,Stroke,65-69,143.0,1.0524014046577272,1.0266082864169415,1.0733213874141465
red_meat,Stroke,65-69,214.5,1.079623001328871,1.0401767641414865,1.1119741082748793
red_meat,Stroke,65-69,286.0,1.107548716525557,1.0539245737399288,1.1520188006806282
red_meat,Stroke,70-74,0.0,1.0,1.0,1.0
red_meat,Stroke,70-74,71.5,1.021084701791404,1.0107859252238087,1.0293285780546728
red_meat,Stroke,70-74,143.0,1.0426139682324405,1.0216881866305512,1.0595173216000549
red_meat,Stroke,70-74,214.5,1.0645971728361738,1.032708039013597,1.0905914580668798
red_meat,Stroke,70-74,286.0,1.0870438867533965,1.0438467507004239,1.122576954770554
red_meat,Stroke,75-79,0.0,1.0,1.0,1.0
red_meat,Stroke,75-79,71.5,1.017130764218789,1.0087715824728118,1.0238107544952102
red_meat,Stroke,75-79,143.0,1.0345549915202976,1.0176201056047012,1.0481884610200514
red_meat,Stroke,75-79,214.5,1.0522777091514033,1.0265462442870041,1.073146619130112
red_meat,Stroke,75-79,286.0,1.0703040304795632,1.035550679330923,1.0986990498155838
red_meat,Stroke,80-84,0.0,1.0,1.0,1.0
red_meat,Stroke,80-84,71.5,1.017130764218789,1.0087715824728118,1.0238107544952102
red_meat,Stroke,80-84,143.0,1.0345549915202976,1.0176201056047012,1.0481884610200514
red_meat,Stroke,80-84,214.5,1.0522777091514033,1.0265462442870041,1.073146619130112
red_meat,Stroke,80-84,286.0,1.0703040304795632,1.035550679330923,1.0986990498155838
red_meat,Stroke,85-89,0.0,1.0,1.0,1.0
red_meat,Stroke,85-89,71.5,1.017130764218789,1.0087715824728118,1.0238107544952102
red_meat,Stroke,85-89,143.0,1.0345549915202976,1.0176201056047012,1.0481884610200514
red_meat,Stroke,85-89,214.5,1.0522777091514033,1.0265462442870041,1.073146619130112
red_meat,Stroke,85-89,286.0,1.0703040304795632,1.035550679330923,1.0986990498155838
red_meat,Stroke,90-94,0.0,1.0,1.0,1.0
red_meat,Stroke,90-94,71.5,1.017130764218789,1.0087715824728118,1.0238107544952102
red_meat,Stroke,90-94,143.0,1.0345549915202976,1.0176201056047012,1.0481884610200514
red_meat,Stroke,90-94,214.5,1.0522777091514033,1.0265462442870041,1.073146619130112
red_meat,Stroke,90-94,286.0,1.0703040304795632,1.035550679330923,1.0986990498155838
red_meat,Stroke,95+,0.0,1.0,1.0,1.0
red_meat,Stroke,95+,71.5,1.017130764218789,1.0087715824728118,1.0238107544952102
red_meat,Stroke,95+,143.0,1.0345549915202976,1.0176201056047012,1.0481884610200514
red_meat,Stroke,95+,214.5,1.0522777091514033,1.0265462442870041,1.073146619130112
red_meat,Stroke,95+,286.0,1.0703040304795632,1.035550679330923,1.0986990498155838
red_meat,T2DM,25-29,0.0,1.0,1.0,1.0
red_meat,T2DM,25-29,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,25-29,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,25-29,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,25-29,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,30-34,0.0,1.0,1.0,1.0
red_meat,T2DM,30-34,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,30-34,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,30-34,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,30-34,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,35-39,0.0,1.0,1.0,1.0
red_meat,T2DM,35-39,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,35-39,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,35-39,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,35-39,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,40-44,0.0,1.0,1.0,1.0
red_meat,T2DM,40-44,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,40-44,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,40-44,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,40-44,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,45-49,0.0,1.0,1.0,1.0
red_meat,T2DM,45-49,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,45-49,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,45-49,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,45-49,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,50-54,0.0,1.0,1.0,1.0
red_meat,T2DM,50-54,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,50-54,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,50-54,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,50-54,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,55-59,0.0,1.0,1.0,1.0
red_meat,T2DM,55-59,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,55-59,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,55-59,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,55-59,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,60-64,0.0,1.0,1.0,1.0
red_meat,T2DM,60-64,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,60-64,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,60-64,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,60-64,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,65-69,0.0,1.0,1.0,1.0
red_meat,T2DM,65-69,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,65-69,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,65-69,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,65-69,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,70-74,0.0,1.0,1.0,1.0
red_meat,T2DM,70-74,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,70-74,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,70-74,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,70-74,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,75-79,0.0,1.0,1.0,1.0
red_meat,T2DM,75-79,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,75-79,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,75-79,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,75-79,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,80-84,0.0,1.0,1.0,1.0
red_meat,T2DM,80-84,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,80-84,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,80-84,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,80-84,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,85-89,0.0,1.0,1.0,1.0
red_meat,T2DM,85-89,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,85-89,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,85-89,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,85-89,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,90-94,0.0,1.0,1.0,1.0
red_meat,T2DM,90-94,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,90-94,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,90-94,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,90-94,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
red_meat,T2DM,95+,0.0,1.0,1.0,1.0
red_meat,T2DM,95+,71.5,1.0705224266880358,1.0425423207480722,1.1050933254213062
red_meat,T2DM,95+,143.0,1.146018266042041,1.0868944905507762,1.221231257890721
red_meat,T2DM,95+,214.5,1.2268382551921408,1.1331335045871,1.3495745118909017
red_meat,T2DM,95+,286.0,1.3133578661020064,1.1813396335896316,1.4914057852493527
vegetables,CHD,25-29,0.0,1.0,1.0,1.0
vegetables,CHD,25-29,100.0,0.91,0.87,0.97
vegetables,CHD,25-29,200.0,0.85,0.78,0.92
vegetables,CHD,25-29,300.0,0.8,0.74,0.87
vegetables,CHD,30-34,0.0,1.0,1.0,1.0
vegetables,CHD,30-34,100.0,0.91,0.87,0.97
vegetables,CHD,30-34,200.0,0.85,0.78,0.92
vegetables,CHD,30-34,300.0,0.8,0.74,0.87
vegetables,CHD,35-39,0.0,1.0,1.0,1.0
vegetables,CHD,35-39,100.0,0.91,0.87,0.97
vegetables,CHD,35-39,200.0,0.85,0.78,0.92
vegetables,CHD,35-39,300.0,0.8,0.74,0.87
vegetables,CHD,40-44,0.0,1.0,1.0,1.0
vegetables,CHD,40-44,100.0,0.93,0.89,0.98
vegetables,CHD,40-44,200.0,0.88,0.81,0.93
vegetables,CHD,40-44,300.0,0.83,0.78,0.89
vegetables,CHD,45-49,0.0,1.0,1.0,1.0
vegetables,CHD,45-49,100.0,0.93,0.9,0.98
vegetables,CHD,45-49,200.0,0.88,0.82,0.94
vegetables,CHD,45-49,300.0,0.84,0.79,0.9
vegetables,CHD,50-54,0.0,1.0,1.0,1.0
vegetables,CHD,50-54,100.0,0.94,0.91,0.98
vegetables,CHD,50-54,200.0,0.89,0.83,0.94
vegetables,CHD,50-54,300.0,0.85,0.8,0.91
vegetables,CHD,55-59,0.0,1.0,1.0,1.0
vegetables,CHD,55-59,100.0,0.94,0.92,0.98
vegetables,CHD,55-59,200.0,0.91,0.85,0.95
vegetables,CHD,55-59,300.0,0.87,0.83,0.92
vegetables,CHD,60-64,0.0,1.0,1.0,1.0
vegetables,CHD,60-64,100.0,0.95,0.93,0.99
vegetables,CHD,60-64,200.0,0.92,0.87,0.96
vegetables,CHD,60-64,300.0,0.89,0.85,0.93
vegetables,CHD,65-69,0.0,1.0,1.0,1.0
vegetables,CHD,65-69,100.0,0.96,0.94,0.99
vegetables,CHD,65-69,200.0,0.92,0.88,0.96
vegetables,CHD,65-69,300.0,0.9,0.86,0.93
vegetables,CHD,70-74,0.0,1.0,1.0,1.0
vegetables,CHD,70-74,100.0,0.96,0.94,0.99
vegetables,CHD,70-74,200.0,0.93,0.89,0.96
vegetables,CHD,70-74,300.0,0.91,0.87,0.94
vegetables,CHD,75-79,0.0,1.0,1.0,1.0
vegetables,CHD,75-79,100.0,0.96,0.95,0.99
vegetables,CHD,75-79,200.0,0.94,0.9,0.97
vegetables,CHD,75-79,300.0,0.91,0.88,0.94
vegetables,CHD,80-84,0.0,1.0,1.0,1.0
vegetables,CHD,80-84,100.0,0.96,0.95,0.99
vegetables,CHD,80-84,200.0,0.94,0.9,0.97
vegetables,CHD,80-84,300.0,0.91,0.88,0.94
vegetables,CHD,85-89,0.0,1.0,1.0,1.0
vegetables,CHD,85-89,100.0,0.96,0.95,0.99
vegetables,CHD,85-89,200.0,0.94,0.9,0.97
vegetables,CHD,85-89,300.0,0.91,0.88,0.94
vegetables,CHD,90-94,0.0,1.0,1.0,1.0
vegetables,CHD,90-94,100.0,0.96,0.95,0.99
vegetables,CHD,90-94,200.0,0.94,0.9,0.97
vegetables,CHD,90-94,300.0,0.91,0.88,0.94
vegetables,CHD,95+,0.0,1.0,1.0,1.0
vegetables,CHD,95+,100.0,0.96,0.95,0.99
vegetables,CHD,95+,200.0,0.94,0.9,0.97
vegetables,CHD,95+,300.0,0.91,0.88,0.94
vegetables,Stroke,25-29,0.0,1.0,1.0,1.0
vegetables,Stroke,25-29,100.0,0.94,0.9,1.0
vegetables,Stroke,25-29,200.0,0.9,0.82,0.99
vegetables,Stroke,25-29,300.0,0.86,0.76,0.97
vegetables,Stroke,30-34,0.0,1.0,1.0,1.0
vegetables,Stroke,30-34,100.0,0.94,0.9,1.0
vegetables,Stroke,30-34,200.0,0.9,0.82,0.99
vegetables,Stroke,30-34,300.0,0.86,0.76,0.97
vegetables,Stroke,35-39,0.0,1.0,1.0,1.0
vegetables,Stroke,35-39,100.0,0.94,0.9,1.0
vegetables,Stroke,35-39,200.0,0.9,0.82,0.99
vegetables,Stroke,35-39,300.0,0.86,0.76,0.97
vegetables,Stroke,40-44,0.0,1.0,1.0,1.0
vegetables,Stroke,40-44,100.0,0.95,0.92,1.0
vegetables,Stroke,40-44,200.0,0.92,0.85,1.0
vegetables,Stroke,40-44,300.0,0.89,0.8,0.97
