age,sex,country,population
30-34,female,ARG,1621954.0
35-39,female,ARG,1583354.0
40-44,female,ARG,1515266.0
45-49,female,ARG,1317327.0
50-54,female,ARG,1149456.0
55-59,female,ARG,1092538.0
60-64,female,ARG,1007218.0
65-69,female,ARG,902480.0
70-74,female,ARG,759784.0
75-79,female,ARG,584667.0
80-84,female,ARG,412711.0
85-89,female,ARG,252786.0
90-94,female,ARG,118125.0
95+,female,ARG,38736.0
all-a,female,ARG,22734138.0
<1,male,ARG,358157.4
1-4,male,ARG,1432629.6
5-9,male,ARG,1916146.0
10-14,male,ARG,1840518.0
15-19,male,ARG,1777759.0
20-24,male,ARG,1785824.0
25-29,male,ARG,1785397.0
30-34,male,ARG,1675658.0
35-39,male,ARG,1617187.0
40-44,male,ARG,1545681.0
45-49,male,ARG,1310102.0
50-54,male,ARG,1126154.0
55-59,male,ARG,1055670.0
60-64,male,ARG,937649.0
65-69,male,ARG,787693.0
70-74,male,ARG,605973.0
75-79,male,ARG,409723.0
80-84,male,ARG,243988.0
85-89,male,ARG,117136.0
90-94,male,ARG,41730.0
95+,male,ARG,11237.0
all-a,male,ARG,22382012.0
<1,female,ARM,18050.8
1-4,female,ARM,72203.2
5-9,female,ARM,98499.0
10-14,female,ARM,91010.0
15-19,female,ARM,80585.0
20-24,female,ARM,87094.0
25-29,female,ARM,120074.0
30-34,female,ARM,133020.0
35-39,female,ARM,121439.0
40-44,female,ARM,101444.0
45-49,female,ARM,90014.0
50-54,female,ARM,94183.0
55-59,female,ARM,118755.0
60-64,female,ARM,109944.0
65-69,female,ARM,79996.0
70-74,female,ARM,50519.0
75-79,female,ARM,32473.0
80-84,female,ARM,37623.0
85-89,female,ARM,16155.999999999998
90-94,female,ARM,6156.0
95+,female,ARM,856.0
all-a,female,ARM,1560094.0
<1,male,ARM,19726.600000000002
1-4,male,ARM,78906.4
5-9,male,ARM,109627.0
10-14,male,ARM,98479.0
15-19,male,ARM,85511.0
20-24,male,ARM,88967.0
25-29,male,ARM,112347.0
30-34,male,ARM,117036.0
35-39,male,ARM,103949.0
40-44,male,ARM,84000.0
45-49,male,ARM,71722.0
50-54,male,ARM,72050.0
55-59,male,ARM,88185.0
60-64,male,ARM,78826.0
65-69,male,ARM,54433.0
70-74,male,ARM,31065.0
75-79,male,ARM,18078.0
80-84,male,ARM,18328.0
85-89,male,ARM,6879.0
90-94,male,ARM,2087.0
95+,male,ARM,193.0
all-a,male,ARM,1340395.0
<1,female,ASM,466.20000000000005
1-4,female,ASM,1864.8
5-9,female,ASM,2464.0
10-14,female,ASM,2622.0
15-19,female,ASM,2369.0
20-24,female,ASM,1649.0
25-29,female,ASM,1683.0
30-34,female,ASM,1510.0
35-39,female,ASM,1464.0
40-44,female,ASM,1601.0
45-49,female,ASM,1543.0
50-54,female,ASM,1483.0
55-59,female,ASM,1297.0
60-64,female,ASM,968.0
65-69,female,ASM,683.0
