country,sex,cause,age,source_country,death_rate_per_1000
AFG,female,Stroke,20-24,AFG,0.013500000000000002
AFG,female,Stroke,25-29,AFG,0.018000000000000002
AFG,female,Stroke,30-34,AFG,0.028300000000000002
AFG,female,Stroke,35-39,AFG,0.0489
AFG,female,Stroke,40-44,AFG,0.050199999999999995
AFG,female,Stroke,45-49,AFG,0.22329999999999997
AFG,female,Stroke,5-9,AFG,0.0012
AFG,female,Stroke,50-54,AFG,0.6048
AFG,female,Stroke,55-59,AFG,0.9711
AFG,female,Stroke,60-64,AFG,2.0873
AFG,female,Stroke,65-69,AFG,3.5055
AFG,female,Stroke,70-74,AFG,7.2823
AFG,female,Stroke,75-79,AFG,11.371099999999998
AFG,female,Stroke,80-84,AFG,18.0676
AFG,female,Stroke,85-89,AFG,29.953699999999998
AFG,female,Stroke,90-94,AFG,29.953699999999998
AFG,female,Stroke,95+,AFG,29.953699999999998
AFG,female,Stroke,<1,AFG,0.006
AFG,female,T2DM,1-4,AFG,0.0037
AFG,female,T2DM,10-14,AFG,0.0067
AFG,female,T2DM,15-19,AFG,0.013500000000000002
AFG,female,T2DM,20-24,AFG,0.0217
AFG,female,T2DM,25-29,AFG,0.0225
AFG,female,T2DM,30-34,AFG,0.0304
AFG,female,T2DM,35-39,AFG,0.0524
AFG,female,T2DM,40-44,AFG,0.057300000000000004
AFG,female,T2DM,45-49,AFG,0.2939
AFG,female,T2DM,5-9,AFG,0.0043
AFG,female,T2DM,50-54,AFG,0.8575
AFG,female,T2DM,55-59,AFG,1.4616
AFG,female,T2DM,60-64,AFG,2.3226
AFG,female,T2DM,65-69,AFG,3.2651999999999997
AFG,female,T2DM,70-74,AFG,4.2833
AFG,female,T2DM,75-79,AFG,5.1684
AFG,female,T2DM,80-84,AFG,5.458200000000001
AFG,female,T2DM,85-89,AFG,7.2811
AFG,female,T2DM,90-94,AFG,7.2811
AFG,female,T2DM,95+,AFG,7.2811
AFG,female,T2DM,<1,AFG,0.0088
AFG,male,CHD,1-4,AFG,0.0
AFG,male,CHD,10-14,AFG,0.0
AFG,male,CHD,15-19,AFG,0.043
AFG,male,CHD,20-24,AFG,0.0616
AFG,male,CHD,25-29,AFG,0.1247
AFG,male,CHD,30-34,AFG,0.258
AFG,male,CHD,35-39,AFG,0.5318999999999999
AFG,male,CHD,40-44,AFG,1.2357
AFG,male,CHD,45-49,AFG,2.3955
AFG,male,CHD,5-9,AFG,0.0
AFG,male,CHD,50-54,AFG,3.9713
AFG,male,CHD,55-59,AFG,5.944
AFG,male,CHD,60-64,AFG,9.1789
AFG,male,CHD,65-69,AFG,13.8949
AFG,male,CHD,70-74,AFG,19.7962
AFG,male,CHD,75-79,AFG,26.8471
AFG,male,CHD,80-84,AFG,36.2817
AFG,male,CHD,85-89,AFG,66.8646
AFG,male,CHD,90-94,AFG,66.8646
AFG,male,CHD,95+,AFG,66.8646
AFG,male,CHD,<1,AFG,0.0
AFG,male,CKD,1-4,AFG,0.0084
AFG,male,CKD,10-14,AFG,0.006999999999999999
AFG,male,CKD,15-19,AFG,0.0169
AFG,male,CKD,20-24,AFG,0.019000000000000003
AFG,male,CKD,25-29,AFG,0.0245
AFG,male,CKD,30-34,AFG,0.038700000000000005
AFG,male,CKD,35-39,AFG,0.0638
AFG,male,CKD,40-44,AFG,0.1068
AFG,male,CKD,45-49,AFG,0.1614
AFG,male,CKD,5-9,AFG,0.0037
AFG,male,CKD,50-54,AFG,0.28069999999999995
AFG,male,CKD,55-59,AFG,0.5241
AFG,male,CKD,60-64,AFG,1.0369
AFG,male,CKD,65-69,AFG,1.632
AFG,male,CKD,70-74,AFG,2.5518
AFG,male,CKD,75-79,AFG,3.5859
AFG,male,CKD,80-84,AFG,4.6745
AFG,male,CKD,85-89,AFG,8.7792
AFG,male,CKD,90-94,AFG,8.7792
AFG,male,CKD,95+,AFG,8.7792
AFG,male,CKD,<1,AFG,0.0179
AFG,male,CRC,1-4,AFG,0.0
AFG,male,CRC,10-14,AFG,0.0
AFG,male,CRC,15-19,AFG,0.0029
AFG,male,CRC,20-24,AFG,0.0051
AFG,male,CRC,25-29,AFG,0.0052
AFG,male,CRC,30-34,AFG,0.0101
AFG,male,CRC,35-39,AFG,0.014499999999999999
AFG,male,CRC,40-44,AFG,0.0223
AFG,male,CRC,45-49,AFG,0.033
AFG,male,CRC,5-9,AFG,0.0
AFG,male,CRC,50-54,AFG,0.0665
AFG,male,CRC,55-59,AFG,0.11470000000000001
AFG,male,CRC,60-64,AFG,0.1744
AFG,male,CRC,65-69,AFG,0.239
AFG,male,CRC,70-74,AFG,0.3201
AFG,male,CRC,75-79,AFG,0.3678
AFG,male,CRC,80-84,AFG,0.3722
AFG,male,CRC,85-89,AFG,0.3157
AFG,male,CRC,90-94,AFG,0.3157
AFG,male,CRC,95+,AFG,0.3157
AFG,male,CRC,<1,AFG,0.0
AFG,male,HaemorrhagicStroke,1-4,AFG,0.017
AFG,male,HaemorrhagicStroke,10-14,AFG,0.011200000000000002
AFG,male,HaemorrhagicStroke,15-19,AFG,0.0393
AFG,male,HaemorrhagicStroke,20-24,AFG,0.0504
AFG,male,HaemorrhagicStroke,25-29,AFG,0.07769999999999999
AFG,male,HaemorrhagicStroke,30-34,AFG,0.1082
AFG,male,HaemorrhagicStroke,35-39,AFG,0.19260000000000002
AFG,male,HaemorrhagicStroke,40-44,AFG,0.3728
AFG,male,HaemorrhagicStroke,45-49,AFG,0.6224000000000001
AFG,male,HaemorrhagicStroke,5-9,AFG,0.006
AFG,male,HaemorrhagicStroke,50-54,AFG,0.9638
AFG,male,HaemorrhagicStroke,55-59,AFG,1.5377
AFG,male,HaemorrhagicStroke,60-64,AFG,2.2427
AFG,male,HaemorrhagicStroke,65-69,AFG,3.6248
