path,curve_cause,exposure,rr_mean,rr_low,rr_high,risk_lower,risk_upper,star_rating,rei_id,cause_id
sbp,CHD,100.0,1.0,1.0,1.0,107.5,165.163126976954,5,107,493
sbp,CHD,101.010101010101,1.0050185126014,1.0045615599065,1.00547567315391,107.5,165.163126976954,5,107,493
sbp,CHD,102.020202020202,1.01158763286101,1.01052941467636,1.01264695920313,107.5,165.163126976954,5,107,493
sbp,CHD,103.030303030303,1.01970739927712,1.01790112509833,1.02151687870476,107.5,165.163126976954,5,107,493
sbp,CHD,104.040404040404,1.02937785179177,1.02667370908959,1.0320891169007,107.5,165.163126976954,5,107,493
sbp,CHD,105.050505050505,1.04059903113865,1.03684366503042,1.0443679988872,107.5,165.163126976954,5,107,493
sbp,CHD,106.060606060606,1.05337097820556,1.04840699850088,1.05835846127728,107.5,165.163126976954,5,107,493
sbp,CHD,107.070707070707,1.06769373343001,1.06135925189685,1.07406602087688,107.5,165.163126976954,5,107,493
sbp,CHD,108.080808080808,1.08356733624389,1.07569553637166,1.09149674092262,107.5,165.163126976954,5,107,493
sbp,CHD,109.090909090909,1.10099182457974,1.09141056553697,1.11065719543867,107.5,165.163126976954,5,107,493
sbp,CHD,110.10101010101,1.1199672344477,1.10849869036084,1.1315544322638,107.5,165.163126976954,5,107,493
sbp,CHD,111.111111111111,1.14049359958843,1.12695393472144,1.15419593527901,107.5,165.163126976954,5,107,493
sbp,CHD,112.121212121212,1.16257095120397,1.14677003110805,1.17858958633351,107.5,165.163126976954,5,107,493
sbp,CHD,113.131313131313,1.18619931776522,1.16794045600494,1.20474362732471,107.5,165.163126976954,5,107,493
sbp,CHD,114.141414141414,1.21137872489235,1.19045846454547,1.23266662283939,107.5,165.163126976954,5,107,493
sbp,CHD,115.151515151515,1.23810919530227,1.21431712408034,1.26236742370985,107.5,165.163126976954,5,107,493
sbp,CHD,116.161616161616,1.26639074881569,1.23950934636262,1.29385513178438,107.5,165.163126976954,5,107,493
sbp,CHD,117.171717171717,1.29622340241573,1.26602791811119,1.32713906615655,107.5,165.163126976954,5,107,493
sbp,CHD,118.181818181818,1.32760717034923,1.29386552977102,1.36222873104487,107.5,165.163126976954,5,107,493
sbp,CHD,119.191919191919,1.36054206426227,1.32301480234184,1.39913378546519,107.5,165.163126976954,5,107,493
sbp,CHD,120.20202020202,1.39502809336153,1.35346831219582,1.4378640147922,107.5,165.163126976954,5,107,493
sbp,CHD,121.212121212121,1.43106526459388,1.38521861384765,1.47842930426603,107.5,165.163126976954,5,107,493
sbp,CHD,122.222222222222,1.46865358283728,1.41825826067828,1.52083961446432,107.5,165.163126976954,5,107,493
