country,risk_factor,intake_g_per_day
AFG,fruits,276.43693279659874
AFG,legumes,12.330147311244462
AFG,nuts_seeds,24.071598989497428
AFG,processed_meat,11.714756975157867
AFG,red_meat,24.41108176379627
AFG,vegetables,306.64919082837883
AFG,whole_grains,42.508349747043845
AGO,fruits,61.2978760794508
AGO,legumes,24.058404624276207
AGO,nuts_seeds,8.460358023154303
AGO,processed_meat,2.8358210133398325
AGO,red_meat,33.43379981375508
AGO,vegetables,44.49627237468014
AGO,whole_grains,42.99474160520337
ALB,fruits,347.7490832483574
ALB,legumes,14.587105778269068
ALB,nuts_seeds,12.454596138853637
ALB,processed_meat,38.72543705080839
ALB,red_meat,36.08655071043034
ALB,vegetables,596.4466267272728
ALB,whole_grains,17.23140148987399
ARE,fruits,74.81922357872789
ARE,legumes,50.34701660229921
ARE,nuts_seeds,6.409592758441194
ARE,processed_meat,26.318155527448063
ARE,red_meat,20.65342772706591
ARE,vegetables,115.39330701576031
ARE,whole_grains,21.47322223899976
ARG,fruits,108.39409503773696
ARG,legumes,15.076456939615994
ARG,nuts_seeds,2.3658938624463186
ARG,processed_meat,37.14287631461709
ARG,red_meat,133.5811257264726
ARG,vegetables,127.10271713230556
ARG,whole_grains,14.329121329915347
ARM,fruits,202.67388412190985
ARM,legumes,7.342829675307209
ARM,nuts_seeds,5.506975166652218
ARM,processed_meat,68.44229173833557
ARM,red_meat,37.951901602613184
ARM,vegetables,424.9524032731131
ARM,whole_grains,15.971561084564756
ASM,fruits,298.18235331612084
ASM,legumes,6.119264494285564
ASM,nuts_seeds,4.874905733561548
ASM,processed_meat,18.876181730080884
ASM,red_meat,39.33397991767321
ASM,vegetables,47.20155234625175
ASM,whole_grains,13.470639967379316
ATG,fruits,260.34729270773016
ATG,legumes,5.5700856350489545
ATG,nuts_seeds,3.635616517859992
ATG,processed_meat,39.722831719799935
ATG,red_meat,32.412318494473816
ATG,vegetables,64.01003600121427
ATG,whole_grains,15.90331758390137
AUS,fruits,99.97003172462844
AUS,legumes,22.86708189846249
AUS,nuts_seeds,20.779231466470097
AUS,processed_meat,42.74652214120504
AUS,red_meat,153.7802161642707
AUS,vegetables,136.7331587631274
AUS,whole_grains,67.36954124198924
AUT,fruits,124.48419677519574
AUT,legumes,11.96291142825632
AUT,nuts_seeds,16.077869695357908
AUT,processed_meat,50.88690688741551
AUT,red_meat,95.71021264082654
AUT,vegetables,160.42903040665232
AUT,whole_grains,105.40539354859531
AZE,fruits,160.8521749044937
AZE,legumes,1.346990749631399
AZE,nuts_seeds,8.052577453195854
AZE,processed_meat,36.563500456969926
AZE,red_meat,33.47620969828335
AZE,vegetables,342.941837813774
AZE,whole_grains,36.54416315042653
BDI,fruits,25.88447145616508
BDI,legumes,114.29870647210969
BDI,nuts_seeds,1.2277329001822936
BDI,processed_meat,2.775885922380458
BDI,red_meat,7.819610554085423
BDI,vegetables,97.92929616010444
BDI,whole_grains,15.81724235138972
BEL,fruits,126.38304731826632
BEL,legumes,14.890227279249403
BEL,nuts_seeds,6.619236944262354
BEL,processed_meat,44.231443042316094
BEL,red_meat,90.02526420071777
BEL,vegetables,215.16862466036355
BEL,whole_grains,88.70959779191614
BEN,fruits,67.84217279964025
BEN,legumes,39.04332548844565
BEN,nuts_seeds,9.05399371483632
BEN,processed_meat,7.962224452406204
BEN,red_meat,6.772791562072426
BEN,vegetables,87.75461995362656
BEN,whole_grains,33.46363303957281
BFA,fruits,102.63603700843348
BFA,legumes,94.30628862210116
BFA,nuts_seeds,33.459088021479346
BFA,processed_meat,47.00547918267345
BFA,red_meat,21.34223969684897
BFA,vegetables,104.86150530082764
BFA,whole_grains,84.59193914109267
BGD,fruits,43.2081827351598
BGD,legumes,21.002569399908204
BGD,nuts_seeds,2.5136424675451217
BGD,processed_meat,0.3149651474984482
BGD,red_meat,7.004265255118019
BGD,vegetables,76.89640618339988
BGD,whole_grains,36.637920176025
BGR,fruits,108.21454349516968
BGR,legumes,7.339609567968961
BGR,nuts_seeds,14.673174819159266
BGR,processed_meat,36.91352703641878
BGR,red_meat,76.92000171979494
BGR,vegetables,182.9040759015176
BGR,whole_grains,67.7354641278342
BHS,fruits,273.8416312592525
BHS,legumes,2.826784184805148
BHS,nuts_seeds,5.470713954553529
BHS,processed_meat,27.00925274982865
BHS,red_meat,73.78233773791557
BHS,vegetables,241.6892418495961
BHS,whole_grains,22.95609887632698
BIH,fruits,185.3566739382439
BIH,legumes,24.503067816160137
BIH,nuts_seeds,9.028971690302672
BIH,processed_meat,10.735939117617313
BIH,red_meat,59.323955067725485
BIH,vegetables,516.2916524944495
BIH,whole_grains,62.18166863477162
BLR,fruits,135.83949725964982
BLR,legumes,6.72036813793963
