country,age,lx,ex
ATG,40-44,96337.593,39.9033
ATG,45-49,95335.209,35.296
ATG,50-54,94050.003,30.7419
ATG,55-59,91937.82,26.3863
ATG,60-64,88730.379,22.244
ATG,65-69,83954.659,18.359
ATG,70-74,77199.188,14.7331
ATG,75-79,67136.072,11.5484
ATG,80-84,54499.265,8.6205
ATG,85-89,37164.329,6.4383
ATG,90-94,20287.708,4.7838
ATG,95+,8065.38,3.546
AUS,<1,100000.0,84.073
AUS,1-4,99736.971,83.2943
AUS,5-9,99684.323,79.3376
AUS,10-14,99657.457,74.3583
AUS,15-19,99620.49,69.3848
AUS,20-24,99493.917,64.4693
AUS,25-29,99317.363,59.5794
AUS,30-34,99115.088,54.6957
AUS,35-39,98856.642,49.8318
AUS,40-44,98488.049,45.0085
AUS,45-49,97959.741,40.2369
AUS,50-54,97181.815,35.5378
AUS,55-59,96053.087,30.9241
AUS,60-64,94379.181,26.4255
AUS,65-69,91938.338,22.0572
AUS,70-74,88398.151,17.8335
AUS,75-79,82773.63,13.8623
AUS,80-84,73628.883,10.2494
AUS,85-89,58791.119,7.1618
AUS,90-94,37530.756,4.7487
AUS,95+,15428.318,3.1037
AUT,<1,100000.0,82.1196
AUT,1-4,99735.678,81.3369
AUT,5-9,99659.428,77.3981
AUT,10-14,99634.126,72.4172
AUT,15-19,99595.814,67.444
AUT,20-24,99481.5,62.5181
AUT,25-29,99319.045,57.6163
AUT,30-34,99143.152,52.714
AUT,35-39,98914.427,47.8298
AUT,40-44,98599.886,42.974
AUT,45-49,98116.735,38.1724
AUT,50-54,97341.111,33.4551
AUT,55-59,96054.443,28.8668
AUT,60-64,93851.233,24.4813
AUT,65-69,90371.382,20.3208
AUT,70-74,85056.531,16.4244
AUT,75-79,77514.443,12.7675
AUT,80-84,67195.292,9.3218
AUT,85-89,51217.103,6.3929
AUT,90-94,29457.713,4.2313
AUT,95+,10263.923,2.7859
AZE,<1,100000.0,74.5764
AZE,1-4,98582.926,74.6467
AZE,5-9,98312.535,70.8475
AZE,10-14,98194.858,65.9297
AZE,15-19,98062.655,61.0149
AZE,20-24,97816.976,56.1614
AZE,25-29,97504.835,51.3331
AZE,30-34,97169.686,46.5013
AZE,35-39,96756.783,41.6886
AZE,40-44,96164.575,36.9289
AZE,45-49,95196.968,32.2768
AZE,50-54,93629.55,27.7722
AZE,55-59,91100.044,23.4685
AZE,60-64,87174.737,19.4052
AZE,65-69,81248.728,15.6264
AZE,70-74,72537.975,12.1844
AZE,75-79,59886.336,9.2006
AZE,80-84,43246.626,6.7487
AZE,85-89,25048.177,4.8439
AZE,90-94,10240.549,3.4737
AZE,95+,2579.14,2.4766
BDI,<1,100000.0,63.8177
BDI,1-4,96519.595,65.1138
BDI,5-9,95206.083,61.9835
BDI,10-14,93653.075,57.9731
BDI,15-19,92736.04,53.5224
BDI,20-24,91495.517,49.2114
BDI,25-29,89834.182,45.0745
BDI,30-34,88049.314,40.9369
BDI,35-39,86132.543,36.7917
BDI,40-44,84007.899,32.6573
BDI,45-49,81458.88,28.5991
BDI,50-54,78472.146,24.589
BDI,55-59,74506.866,20.7589
BDI,60-64,69519.132,17.0616
BDI,65-69,62586.483,13.659
BDI,70-74,53130.97,10.6247
BDI,75-79,40871.404,8.0361
BDI,80-84,26865.071,5.9102
BDI,85-89,13646.935,4.2927
BDI,90-94,4755.193,3.1021
BDI,95+,962.121,2.2727
BEL,<1,100000.0,82.2741
BEL,1-4,99712.719,81.5108
BEL,5-9,99657.808,77.5549
BEL,10-14,99626.136,72.5788
